F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,Class,Index
2.00E+01,2.00E+01,1.60E+01,2.00E+01,2.00E+01,1.70E+01,1.30E+01,1.20E+01,6.00E+00,1.80E+01,1.30E+01,6.00E+00,9.00E+00,1.20E+01,9.00E+00,-3.00E+00,-2.00E+01,9.00E+00,6.00E+00,1.00E+01,7.00E+00,1.10E+01,6.00E+00,-3.00E+00,1,35
2.00E+00,2.00E+00,2.00E+00,-2.00E+00,-2.00E+00,2.00E+00,-2.00E+00,-3.00E+00,2.00E+00,-1.00E+00,-2.00E+00,2.00E+00,1.00E+00,-2.00E+00,2.00E+00,-2.00E+00,-2.00E+00,2.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,-1,38
2.00E+00,2.00E+00,1.00E+00,-1.00E+00,1.00E+00,2.00E+00,-2.00E+00,-1.00E+00,2.00E+00,1.00E+00,2.00E+00,1.00E+00,-2.00E+00,1.00E+00,2.00E+00,-2.00E+00,-1.00E+00,2.00E+00,-1.00E+00,-2.00E+00,1.00E+00,-1.00E+00,2.00E+00,2.00E+00,1,40
7.00E+00,3.00E+00,3.00E+00,-3.00E+00,-2.00E+00,2.00E+00,-6.00E+00,-3.00E+00,-6.00E+00,-2.00E+00,-2.00E+00,-3.00E+00,-1.80E+01,2.00E+00,-1.00E+01,-9.00E+00,-7.00E+00,-3.00E+00,-2.00E+00,-2.00E+00,-6.00E+00,-6.00E+00,-9.00E+00,-1.20E+01,-1,45
2.00E+00,-2.00E+00,-1.00E+00,-2.00E+00,3.00E+00,2.00E+00,-2.00E+00,-2.00E+00,-6.00E+00,-9.00E+00,-6.00E+00,2.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,-6.00E+00,-3.00E+00,-2.00E+00,1.00E+00,-2.00E+00,-2.00E+00,-1.50E+01,-2.00E+00,2.00E+00,0,46
2.00E+00,6.00E+00,8.00E+00,5.00E+00,-1.00E+00,-2.00E+00,2.00E+00,1.00E+00,-3.00E+00,4.00E+00,-4.00E+00,2.00E+00,4.00E+00,-2.00E+00,1.10E+01,2.00E+00,6.00E+00,7.00E+00,1.70E+01,2.00E+00,3.00E+00,4.00E+00,2.00E+00,6.00E+00,1,53
-6.00E+00,-7.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,2.00E+00,-2.00E+01,-2.00E+00,-2.00E+00,-1.80E+01,-8.00E+00,-2.00E+00,-8.00E+00,-1.10E+01,-1.90E+01,-3.00E+00,3.00E+00,-2.00E+00,-1.10E+01,-3.00E+00,-2.00E+00,-1.10E+01,-2.00E+00,-7.00E+00,-1,55
-6.00E+00,-3.00E+00,-8.00E+00,-1.00E+01,-6.00E+00,-8.00E+00,-1.20E+01,-1.20E+01,-1.10E+01,-8.00E+00,-3.00E+00,-3.00E+00,-2.00E+00,-7.00E+00,-7.00E+00,-6.00E+00,-2.00E+00,-3.00E+00,-3.00E+00,-2.00E+00,2.00E+00,2.00E+00,-2.00E+00,-2.00E+00,-1,56
-2.00E+00,2.00E+00,1.00E+00,2.00E+00,-2.00E+00,2.00E+00,-1.00E+00,-1.00E+00,2.00E+00,1.00E+00,2.00E+00,2.00E+00,2.00E+00,-2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,1.00E+00,-2.00E+00,-2.00E+00,2.00E+00,2.00E+00,2.00E+00,1,59
-2.00E+00,-3.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,-1.00E+01,-2.00E+00,-6.00E+00,2.00E+00,-2.00E+00,-9.00E+00,-1.00E+00,-1.00E+00,-2.00E+00,-1.00E+00,-6.00E+00,-2.00E+00,-2.00E+00,-3.00E+00,2.00E+00,-2.00E+00,-2.00E+00,-2.00E+00,-1,16
